STABBR,YEAR,dispensary,marij_related_words
HI,2015,2.5,29.97222222222222
HI,2016,1.9166666666666667,31.36111111111111
HI,2017,3.6666666666666665,35.66666666666667
HI,2018,5.166666666666667,41.22222222222222
HI,2019,6.25,41.916666666666664
HI,2020,4.75,45.27777777777778
HI,2021,7.5,39.77777777777778
IA,2004,0,14.38888888888889
IA,2005,0.08333333333333333,15.666666666666666
IA,2006,0,15.11111111111111
IA,2007,0,15
IA,2008,0,15.5
IA,2009,0,18.77777777777778
IA,2010,0.08333333333333333,20.583333333333332
IA,2011,0,23.63888888888889
IA,2012,0.08333333333333333,24.47222222222222
IA,2013,0.08333333333333333,26.22222222222222
IA,2014,0.4166666666666667,28.805555555555554
IA,2015,0.75,28.944444444444443
IA,2016,0.9166666666666666,27.638888888888886
IA,2017,1.4166666666666667,30.555555555555557
IA,2018,2,36.02777777777778
IA,2019,3.3333333333333335,36.77777777777778
IA,2020,9.75,37.72222222222222
IA,2021,13.75,34.63888888888889
ID,2004,0.25,13.88888888888889
ID,2005,0.16666666666666666,14.472222222222221
ID,2006,0.25,12.805555555555555
ID,2007,0.75,13.666666666666666
ID,2008,0.6666666666666666,15.694444444444445
ID,2009,0.3333333333333333,18.666666666666668
ID,2010,0.08333333333333333,18.22222222222222
ID,2011,0.4166666666666667,20.47222222222222
ID,2012,0.16666666666666666,21.583333333333332
ID,2013,0.3333333333333333,22.555555555555557
ID,2014,0.9166666666666666,25.25
ID,2015,1.5833333333333333,25.833333333333336
ID,2016,2.25,25.555555555555557
ID,2017,3,28.555555555555557
ID,2018,3.9166666666666665,34.138888888888886
ID,2019,5.833333333333333,36.77777777777778
ID,2020,5.916666666666667,35.05555555555556
ID,2021,7.666666666666667,31.36111111111111
IL,2004,0,15.055555555555557
IL,2005,0,15.805555555555555
IL,2006,0,15.472222222222221
IL,2007,0,15.166666666666668
IL,2008,0,17
IL,2009,0,19.833333333333332
IL,2010,0,20.055555555555557
IL,2011,0,23.333333333333332
IL,2012,0,24.833333333333332
IL,2013,0.5,25.77777777777778
IL,2014,1,27.416666666666668
IL,2015,1.3333333333333333,26.916666666666668
IL,2016,1.75,27.055555555555557
IL,2017,2.25,29.555555555555557
IL,2018,3.3333333333333335,34.63888888888889
IL,2019,7,37.80555555555556
IL,2020,36.75,43.5
IL,2021,35,33.88888888888889
IN,2004,0,18.944444444444443
IN,2005,0,19.25
IN,2006,0,18.77777777777778
IN,2007,0,19.25
IN,2008,0,21.02777777777778
IN,2009,0,25.083333333333332
IN,2010,0,25.805555555555554
IN,2011,0.08333333333333333,28.47222222222222
IN,2012,0.25,29.63888888888889
IN,2013,0.16666666666666666,31.555555555555554
IN,2014,0.5,33.16666666666667
IN,2015,0.5833333333333334,31.583333333333332
IN,2016,1,33.611111111111114
IN,2017,1.1666666666666667,36.72222222222222
IN,2018,2.25,42.19444444444444
IN,2019,3.8333333333333335,44.47222222222222
IN,2020,12.75,44.638888888888886
IN,2021,19.25,42
KS,2004,0.08333333333333333,16.055555555555557
KS,2005,0,16.86111111111111
KS,2006,0,18.02777777777778
KS,2007,0,16.583333333333332
KS,2008,0,18.916666666666668
KS,2009,0.16666666666666666,23.333333333333332
KS,2010,0.16666666666666666,24.916666666666668
KS,2011,0.25,25.11111111111111
KS,2012,0.3333333333333333,26.583333333333336
KS,2013,0.6666666666666666,27.916666666666664
KS,2014,1.1666666666666667,29.916666666666664
KS,2015,1,25.333333333333336
KS,2016,1.8333333333333333,28.5
KS,2017,2.9166666666666665,33.361111111111114
KS,2018,3.0833333333333335,39.11111111111111
KS,2019,4.416666666666667,39.11111111111111
KS,2020,6.166666666666667,39.583333333333336
KS,2021,7.083333333333333,36.19444444444444
KY,2004,0.16666666666666666,17.22222222222222
KY,2005,0.08333333333333333,16.5
KY,2006,0,17.055555555555554
KY,2007,0,18.916666666666664
KY,2008,0,20.75
KY,2009,0,23.555555555555557
KY,2010,0,25.333333333333332
KY,2011,0,27.25
KY,2012,0,28.833333333333336
KY,2013,0.08333333333333333,30.02777777777778
KY,2014,0.4166666666666667,32.55555555555556
KY,2015,0.6666666666666666,31.777777777777775
KY,2016,0.75,32.138888888888886
KY,2017,1,34.75
KY,2018,1.5,39.69444444444444
KY,2019,2.25,40.88888888888889
KY,2020,4.833333333333333,41.55555555555556
KY,2021,7,37.833333333333336
LA,2004,0.16666666666666666,22.166666666666668
LA,2005,0.16666666666666666,19.52777777777778
LA,2006,0,22.11111111111111
LA,2007,0,22.97222222222222
LA,2008,0,24.416666666666668
LA,2009,0,29.61111111111111
LA,2010,0.16666666666666666,30
LA,2011,0.3333333333333333,33.27777777777778
LA,2012,0.16666666666666666,34.80555555555556
LA,2013,0.08333333333333333,37.166666666666664
LA,2014,1,39.97222222222222
LA,2015,0.8333333333333334,37.94444444444444
LA,2016,1.25,39.083333333333336
LA,2017,1.3333333333333333,41.25
LA,2018,2.3333333333333335,46.77777777777778
LA,2019,3,47.5
LA,2020,3.6666666666666665,49.361111111111114
LA,2021,6.25,46.27777777777778
MA,2004,0,16.805555555555557
MA,2005,0.08333333333333333,17.166666666666664
MA,2006,0,17.88888888888889
MA,2007,0,18.833333333333336
MA,2008,0,22
MA,2009,0,25.416666666666668
MA,2010,0,26.11111111111111
MA,2011,0,27.666666666666668
MA,2012,0.16666666666666666,30.22222222222222
MA,2013,0.9166666666666666,31.583333333333332
MA,2014,1.0833333333333333,32.05555555555556
MA,2015,1.5833333333333333,30.97222222222222
MA,2016,3.5833333333333335,35.583333333333336
MA,2017,4.583333333333333,39.69444444444444
MA,2018,10.5,44.888888888888886
MA,2019,23.416666666666668,45.388888888888886
MA,2020,26.916666666666668,44.02777777777777
MA,2021,43.5,40.333333333333336
MD,2004,0.08333333333333333,20.333333333333336
MD,2005,0,22.416666666666668
MD,2006,0,20.77777777777778
MD,2007,0,22.194444444444443
MD,2008,0,24.166666666666664
MD,2009,0,26.72222222222222
MD,2010,0.08333333333333333,28.88888888888889
MD,2011,0.3333333333333333,31.5
MD,2012,0.16666666666666666,31.805555555555554
MD,2013,0.08333333333333333,33.86111111111111
MD,2014,0.9166666666666666,36.75
MD,2015,1,34.69444444444444
MD,2016,1.3333333333333333,37.44444444444444
MD,2017,3.25,41.583333333333336
MD,2018,8.25,49.916666666666664
MD,2019,10.916666666666666,49.138888888888886
MD,2020,15.5,49.44444444444444
MD,2021,22.166666666666668,45.80555555555556
ME,2004,0,17.52777777777778
