quality_type,price,url,Year,Jurisdictions,measure_unit
High Quality,377.24,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20Hampshire.html,2010,New Hampshire,Average ($/Oz.)*
Medium Quality,238.75,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20Hampshire.html,2010,New Hampshire,Average ($/Oz.)*
High Quality,448.41,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20Jersey.html,2010,New Jersey,Average ($/Oz.)*
Medium Quality,257,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20Jersey.html,2010,New Jersey,Average ($/Oz.)*
High Quality,403.64,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20Mexico.html,2010,New Mexico,Average ($/Oz.)*
Medium Quality,219,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20Mexico.html,2010,New Mexico,Average ($/Oz.)*
High Quality,447.85,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20York.html,2010,New York,Average ($/Oz.)*
Medium Quality,336.6,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/New%20York.html,2010,New York,Average ($/Oz.)*
High Quality,447.86,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/North%20Carolina.html,2010,North Carolina,Average ($/Oz.)*
Medium Quality,161.59,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/North%20Carolina.html,2010,North Carolina,Average ($/Oz.)*
High Quality,395,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/North%20Dakota.html,2010,North Dakota,Average ($/Oz.)*
Medium Quality,483.07,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/North%20Dakota.html,2010,North Dakota,Average ($/Oz.)*
High Quality,411.32,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Ohio.html,2010,Ohio,Average ($/Oz.)*
Medium Quality,149.05,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Ohio.html,2010,Ohio,Average ($/Oz.)*
High Quality,454.12,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Oklahoma.html,2010,Oklahoma,Average ($/Oz.)*
Medium Quality,80,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Oklahoma.html,2010,Oklahoma,Average ($/Oz.)*
High Quality,277.47,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Oregon.html,2010,Oregon,Average ($/Oz.)*
Medium Quality,284.39,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Oregon.html,2010,Oregon,Average ($/Oz.)*
High Quality,441.86,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Pennsylvania.html,2010,Pennsylvania,Average ($/Oz.)*
Medium Quality,274.27,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Pennsylvania.html,2010,Pennsylvania,Average ($/Oz.)*
High Quality,467.27,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Puerto%20Rico.html,2010,Puerto Rico,Average ($/Oz.)*
Medium Quality,NA,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Puerto%20Rico.html,2010,Puerto Rico,Average ($/Oz.)*
High Quality,426.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Rhode%20Island.html,2010,Rhode Island,Average ($/Oz.)*
Medium Quality,254,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Rhode%20Island.html,2010,Rhode Island,Average ($/Oz.)*
High Quality,454.48,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/South%20Carolina.html,2010,South Carolina,Average ($/Oz.)*
Medium Quality,135.93,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/South%20Carolina.html,2010,South Carolina,Average ($/Oz.)*
High Quality,426.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/South%20Dakota.html,2010,South Dakota,Average ($/Oz.)*
Medium Quality,340,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/South%20Dakota.html,2010,South Dakota,Average ($/Oz.)*
High Quality,469.26,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Tennessee.html,2010,Tennessee,Average ($/Oz.)*
Medium Quality,200,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Tennessee.html,2010,Tennessee,Average ($/Oz.)*
High Quality,441.12,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Texas.html,2010,Texas,Average ($/Oz.)*
Medium Quality,189.66,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Texas.html,2010,Texas,Average ($/Oz.)*
High Quality,350,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Utah.html,2010,Utah,Average ($/Oz.)*
Medium Quality,295,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Utah.html,2010,Utah,Average ($/Oz.)*
High Quality,390,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Vermont.html,2010,Vermont,Average ($/Oz.)*
Medium Quality,322,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Vermont.html,2010,Vermont,Average ($/Oz.)*
High Quality,445.29,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Virginia.html,2010,Virginia,Average ($/Oz.)*
Medium Quality,244.12,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Virginia.html,2010,Virginia,Average ($/Oz.)*
High Quality,308.47,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Washington.html,2010,Washington,Average ($/Oz.)*
Medium Quality,302.08,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Washington.html,2010,Washington,Average ($/Oz.)*
